image_id,breed
7ede553357,nerodia-sipedon
3500b219e4,agkistrodon-piscivorus
d43a78d6d9,crotalus-atrox
1f36f26994,storeria-dekayi
8cb85fc58e,crotalus-atrox
7176bcfe9a,lampropeltis-triangulum
27f2d0f582,thamnophis-sirtalis
43eebba928,nerodia-sipedon
180a56f143,pantherophis-obsoletus
07fd20e8bd,agkistrodon-piscivorus
d6145eb8ef,storeria-dekayi
43cf88006f,storeria-dekayi
545094975f,crotalus-atrox
de232d35ce,storeria-dekayi
f49f11daf4,lampropeltis-triangulum
be70c24805,crotalus-atrox
8a68c61789,agkistrodon-contortrix
e4a0afbde5,pantherophis-obsoletus
5d046e4a57,heterodon-platirhinos
9450d432f1,agkistrodon-piscivorus
24ae6b28c9,crotalus-atrox
bbbcf461fd,heterodon-platirhinos
25f864a129,thamnophis-sirtalis
9d63e29dab,pantherophis-obsoletus
560a7820ef,agkistrodon-contortrix
261a672081,pituophis-catenifer
e08cecfcc8,crotalus-atrox
dcbaefa9de,crotalus-atrox
4757eec719,pituophis-catenifer
7a5772b7df,crotalus-atrox
756a3734d1,pantherophis-vulpinus
bcb51ed4fd,crotalus-ruber
b28a9dbd17,thamnophis-sirtalis
84496bd65b,nerodia-sipedon
97254f0a1e,thamnophis-sirtalis
738e860bf3,pantherophis-obsoletus
5b04af2d08,lampropeltis-triangulum
df1007a11e,nerodia-sipedon
71e4a3726c,pituophis-catenifer
9ec71badf5,crotalus-atrox
9aaf30ca4e,storeria-dekayi
502dbd30e8,nerodia-sipedon
6a0948343e,agkistrodon-contortrix
a9c94931b4,lampropeltis-triangulum
94f8b871bc,nerodia-sipedon
65be04e1a7,agkistrodon-contortrix
553b5be83f,nerodia-sipedon
f156e4b9ad,heterodon-platirhinos
c195a35480,pituophis-catenifer
ba36d77d65,thamnophis-sirtalis
ac60cb4c64,pantherophis-obsoletus
e99babb9da,thamnophis-sirtalis
3f79415b22,pantherophis-obsoletus
07a7f4b8a2,agkistrodon-contortrix
8713b35996,crotalus-atrox
8161aa3270,nerodia-sipedon
c084141ebb,nerodia-sipedon
3f264dfa93,thamnophis-radix
ac29145967,nerodia-sipedon
14cc5c0b07,crotalus-atrox
0d53f3592b,nerodia-sipedon
339702c73e,thamnophis-sirtalis
d9282cfc2f,lampropeltis-californiae
7cbb3598a5,opheodrys-aestivus
7d23dd1a25,agkistrodon-piscivorus
302ae16a4f,storeria-dekayi
665ce5599e,pantherophis-alleghaniensis
7fe9ccee38,crotalus-atrox
b4ee296fbe,storeria-dekayi
463302e361,crotalus-atrox
a18b060715,thamnophis-proximus
72b767e027,thamnophis-sirtalis
28c9bd4b10,nerodia-sipedon
a8cf67b3cd,lampropeltis-triangulum
dc0bd440c3,opheodrys-aestivus
1b558cc89f,storeria-dekayi
23a5181788,diadophis-punctatus
17e5f4b5bf,crotalus-atrox
45708c6f17,thamnophis-sirtalis
90e93122c1,diadophis-punctatus
